utterance_id,emotion,transcript
Ses01M_impro06_M023,sad,A lot of people loved him.
Ses01M_impro06_M024,sad,"You know, it's like affecting a lot of people it's not just me, you know?"
Ses01M_impro06_M025,sad,Umm...
Ses01M_impro06_M026,sad,For like eight years.
Ses01M_impro06_M027,sad,Yeah.
Ses01M_impro06_M028,sad,"Yeah, I'm glad I was there. Glad I- glad I got to be there."
Ses01M_impro06_M029,sad,"So weird,"
Ses01M_impro06_M030,sad,"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know."
Ses01M_script01_1_F004,sad,Did you talk to him?
Ses01M_script01_1_F005,sad,Cried hard?
Ses01M_script01_1_F006,sad,[BREATHING]
Ses01M_script01_1_F008,ang,"He's dreaming about him again, walking the streets."
Ses01M_script01_1_F011,ang,What do you mean a mistake?
Ses01M_script01_1_F014,ang,"What, can you prove it?  What proof do you have?  Can you prove it?"
Ses01M_script01_1_F015,ang,"To you it is, to me it is.  But to your father?  You can talk yourself 'til you're blue in the face but there's was no grave and there is no body.  So where are you?"
Ses01M_script01_1_F016,ang,The trouble is those god damn news papers.  Every month some boy comes back missing longer then Larry so--
Ses01M_script01_1_F017,ang,Why?
Ses01M_script01_1_F020,ang,"Well, what do you want me to do?  You're old enough known your own business."
Ses01M_script01_1_F023,ang,I'm sorry.  I ignore what I've got to ignore. That girl is Larry's girl.
Ses01M_script01_1_F024,ang,"From father's point of view he is not dead and you have no right to take his girl.  I'm just saying that you can go on from there if you know where to go but I'm saying I don't know where to go.  See, I don't know."
Ses01M_script01_1_F025,neu,You're a considerate fellow.  There's nothing wrong in that.
Ses01M_script01_1_F026,neu,Did you ask Annie yet?
Ses01M_script01_1_F029,ang,I don't see why it has to be Annie.
Ses01M_script01_1_F030,ang,"That's a good answer but it doesn't answer anything.  You haven't seen her since you went away to war, it's been five years."
Ses01M_script01_1_F031,sad,"He thinks he's coming back, Chris.  You marry that girl you're pronouncing him dead."
Ses01M_script01_1_F032,ang,"Do you know what that'll do to you, to your father, do you know?  I don't."
Ses01M_script01_1_F035,ang,Are you crazy?
Ses01M_script01_1_F036,ang,You have a business here.  I said what the hell is this?
Ses01M_script01_1_F037,ang,"Oh, must you be inspired."
Ses01M_script01_1_F039,ang,"Well, you don't want to think like that."
Ses01M_script01_1_F040,ang,"All right but you don't think like that because what the hell is this all for.  This is all for you, what are we working for Chris? The whole shooting match is for you."
Ses01M_script01_1_F041,ang,"Well, you don't think like that."
Ses01M_script01_1_F042,ang,"I don't understand you, do I?"
Ses01M_script01_1_F043,ang,"Well, I can see that."
Ses01M_script01_1_M000,neu,He saw it.
Ses01M_script01_1_M002,neu,I was out here at four this morning I heard a crack and I looked out the window and he was standing right over there.
Ses01M_script01_1_M003,sad,I don't know.  But he went back in the kitchen and he cried.
Ses01M_script01_1_M004,sad,No.  I figured I'd just let it wait.
Ses01M_script01_1_M005,sad,"Yeah, I could hear him crying through the floorboards in my room."
Ses01M_script01_1_M006,sad,I don't know.
Ses01M_script01_1_M007,sad,I guess he is.
Ses01M_script01_1_M017,neu,I'm going to ask her to marry me.
Ses01M_script01_1_M020,ang,"See.  Then it's not just my business. Sometimes you infuriate me, you know that?  You know it's just your business too if I tell father and he throws a fit about it, huh?"
Ses01M_script01_1_M021,ang,She is not Larry's girl.
Ses01M_script01_1_M023,ang,To hell with that.
Ses01M_script01_1_M024,sad,"No, I wanted to get this all sorted out first."
Ses01M_script01_1_M034,ang,Business?  The business doesn't inspire me.
Ses01M_script01_1_M035,ang,"Yes, yes I like it for one hour a day.  I don't care if I have to grub for money all day long when I come home I want it nice, I want a family, I want to kids and Annie is in the center of that."
Ses01M_script01_1_M037,neu,"Yes, on this I would."
Ses01M_script01_1_M038,sad,Then help me stay here mom.
Ses01M_script01_1_M040,sad,Then help me stay.
Ses01M_script01_1_M041,ang,I am thinking like that.
Ses01M_script01_1_M042,sad,"No, you don't.  I'm a pretty tough guy."
Ses01F_impro07_M012,neu,Is this a Masters or a P.h.D.?  Or can you...? Nice
Ses01F_impro07_M013,neu,"That's good.  Don't you have to like teach a class, too, when you do that?"
Ses01F_impro07_M018,neu,"Of course, right.  That's where the real money is, being a student."
Ses01F_impro07_M019,hap,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.
Ses01M_impro07_F000,neu,Yeah.
Ses01M_impro07_F010,neu,Oh.
Ses01M_impro07_F012,neu,Oh. Venice beach.
Ses01M_impro07_F020,neu,Oh. That is incredible. Is it--
Ses01M_impro07_F033,hap,You're like the rookie? The new kid.
Ses01M_impro07_F034,hap,Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER]
Ses01M_impro07_M006,hap,"I don't know. I should ask. Yeah, I will."
Ses01M_impro07_M011,hap,Professional softball player Malibu. [LAUGHTER]
Ses01M_impro07_M013,hap,"Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly."
Ses01M_impro07_M017,hap,They do it's--believe me it's huge.
Ses01M_impro07_M019,hap,It's pretty wild.
Ses01M_impro07_M020,neu,"Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]"
Ses01M_impro07_M026,neu,Yeah we have like away games and stuff.
Ses01M_impro07_M030,neu,But you know I'm like [GARBAGE].
Ses01M_impro07_M032,hap,I'm going to have a mustache...On the force...
Ses01M_impro07_M033,hap,Pull over..
Ses01M_script01_2_F000,ang,Why did he invite her here?
Ses01M_script01_2_F001,ang,It's been three and a half years.  Why all of a sudden?
Ses01M_script01_2_F004,ang,"What is going on here, Joe?"
Ses01M_script01_2_F005,ang,The girl is not Larry's.  If the girl is Larry's girl she's not his she know she's not.
Ses01M_script01_2_F009,ang,"I want you to---act like he is coming back.  Don't think I haven't noticed you, both of you since Chris invited her here.  I won't stand for any nonsense."
Ses01M_script01_2_F011,ang,"Oh, laugh at me, laugh all you like but why does this happen to very night she comes back?  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe look."
Ses01M_script01_2_F012,ang,"Believe with me Joe, you got to believe. Only last week a boy came back missing longer then Larry you read it yourself."
Ses01M_script01_2_F013,ang,You above all have got to believe. Just don't stop believing.
Ses01M_script01_2_M000,neu,"Well, maybe he wanted see her."
Ses01M_script01_2_M001,neu,"Well uh, He grew up next door to the girl, why wouldn't he want to see her?"
Ses01M_script01_2_M007,neu,And how do you know why she's waited.
Ses01M_script01_2_M015,ang,What does that mean? Me above all? What does that mean?
Ses01M_script01_2_M016,ang,Look at you. You're shaking.
Ses01M_script01_2_M017,ang,"What the hell do you want from me, Kate?"
Ses01F_script03_2_F000,hap,And very much sillier.
Ses01F_script03_2_F001,hap,Oh.  You knew there was nothing in that.
Ses01F_script03_2_F002,hap,"Presents?  It was only a trivial, little brooch."
Ses01F_script03_2_F004,neu,I did not.  You worked that whole thing up in your jealous imagination.
Ses01F_script03_2_F005,neu,"Well, what of it?"
Ses01F_script03_2_F013,ang,Don't be stupid.
Ses01F_script03_2_F014,ang,What?
Ses01F_script03_2_F015,ang,No.  I am just making myself fascinating for you.
Ses01F_script03_2_F016,ang,Oh.  It's a woman's duty to allure the man.
Ses01F_script03_2_F017,ang,No it isn't.
Ses01F_script03_2_F018,ang,You shut up.
Ses01F_script03_2_F021,ang,They sting. I don't care.  Do you understand?  I don't care if they bark and they roll about like hoops.
Ses01F_script03_2_F022,ang,"Yes I did, quite a lot."
Ses01F_script03_2_F023,ang,Mind your own business.
Ses01F_script03_2_F024,ang,"You're quite insufferable, I expect it's because you are drunk."
Ses01F_script03_2_F025,ang,You've always had a weak head.
Ses01F_script03_2_F026,ang,"On the contrary, a child of two can get violently drunk on only one glass of brandy."
Ses01F_script03_2_F027,ang,Oh shut up.
Ses01F_script03_2_F028,ang,Shut up.
Ses01F_script03_2_F029,ang,"Not very funny, darling.  Why don't you have some more brandy."
Ses01F_script03_2_F030,neu,Why?
Ses01F_script03_2_F031,neu,There are no people upstairs; it's a photographer's studio.
Ses01F_script03_2_F032,neu,They are away in Tunis.
Ses01F_script03_2_F034,ang,Fine if you insist on being boorish and idiotic.
Ses01F_script03_2_F035,ang,"You are far too temperamental, try to control yourself."
Ses01F_script03_2_F036,ang,"I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully."
Ses01F_script03_2_F037,ang,"Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible."
Ses01F_script03_2_F038,ang,This is the end.  Do you hear me?  Finally and forever.
Ses01F_script03_2_F039,ang,Oh.  Yes I am.
Ses01F_script03_2_F040,ang,"Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad."
Ses01F_script03_2_M001,neu,However I believe the real cause of that row was Peter Burden.
Ses01F_script03_2_M002,neu,I knew nothing of the sort.  You took presents from him.
Ses01F_script03_2_M004,neu,You went out of your way to torture me over Peter Burden.
Ses01F_script03_2_M007,ang,What about me?
Ses01F_script03_2_M010,neu,"I'll have a little, I think."
Ses01F_script03_2_M011,neu,"No particular reason.  Anyhow, they are very small ones."
Ses01F_script03_2_M014,ang,"Really, Amanda."
Ses01F_script03_2_M016,neu,"you going out somewhere, dear?"
Ses01F_script03_2_M018,neu,"Well as a matter of fact, yes, that's perfectly true."
Ses01F_script03_2_M019,neu,Yes it is.
Ses01F_script03_2_M020,ang,"Oh really.  It's a pity you didn't have any brandy, it would have made you a little less disagreeable."
Ses01F_script03_2_M021,ang,"Snap, snap, snap.  You know you are like a little adder."
Ses01F_script03_2_M022,ang,Nonsense.  They have a bag of venom behind their fangs and they snap. They snap.
Ses01F_script03_2_M023,ang,Did you see much of Peter Burden after our divorce?
Ses01F_script03_2_M024,ang,"And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow."
Ses01F_script03_2_M025,ang,I think I am not in the least bit drunk.
Ses01F_script03_2_M026,ang,I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.
Ses01F_script03_2_M027,ang,"That's very interesting Amanda. How about a child of four?  Or a child of six?  Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots."
Ses01F_script03_2_M029,ang,"Look, you better turn that off. I don't want to wake up the people upstairs."
Ses01F_script03_2_M030,ang,Well then you'll wake up the people downstairs.
Ses01F_script03_2_M031,neu,This is no time of year for Tunis.
Ses01F_script03_2_M032,ang,I will do no such thing.
Ses01F_script03_2_M033,ang,"Will you turn that off, it's driving me mad."
Ses01F_script03_2_M034,ang,Turn it off.
Ses01F_script03_2_M035,ang,"Amanda, listen, listen."
Ses01F_script03_2_M036,ang,Oh.  That's very amusing indeed.
Ses01F_script03_2_M037,ang,"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live."
Ses01F_script03_2_M038,ang,You're not going like this.
Ses01F_script03_2_M039,ang,You're not.
Ses01F_script03_2_M040,ang,"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live."
Ses01F_impro04_F000,neu,"Uh, what?  Craig's List?  Oh the internet thing?"
Ses01F_impro04_F001,neu,I don't know.  Isn't that-- that's all like escort services and things like that.
Ses01F_impro04_F005,neu,He just...
Ses01F_impro04_F006,neu,you know what?  I heard about that job.  I applied for that.
Ses01F_impro04_F009,neu,Yeah.
Ses01F_impro04_F013,neu,I just- I mean I call people up and I tell them what I'm good at.
Ses01F_impro04_F014,neu,Yeah.
Ses01F_impro04_F028,ang,I'm not frustrated.
Ses01F_impro04_F029,ang,Who do you think you are?
Ses01F_impro04_F030,ang,You are so high and mighty.  I just--
Ses01F_impro04_F031,ang,Oh.  I'm saving the environment. I'm riding this car because I- I want to.
Ses01F_impro04_F032,ang,"The bus, I'm riding the bus because I want to."
Ses01F_impro04_F033,ang,I can not-- you are not here by choice.  Nobody would ride this bus by choice.
Ses01F_impro04_M000,neu,"Have you tried, uh, Craig's List?"
Ses01F_impro04_M001,neu,Yeah.
Ses01F_impro04_M002,neu,No.  There's regular jobs on there.
Ses01F_impro04_M003,neu,Uh huh.
Ses01F_impro04_M004,neu,I'm just saying I have a friend that got a good job on it so I was just recommending it.
Ses01F_impro04_M005,neu,He's like a manager for a theatre.
Ses01F_impro04_M006,neu,He's like a house manager. Yeah.  It's a good job.
Ses01F_impro04_M007,neu,You did?
Ses01F_impro04_M008,neu,Yeah.
Ses01F_impro04_M009,neu,You've been looking for a job for a long time; that was a long time ago.  Right?
Ses01F_impro04_M010,neu,Hmm.
Ses01F_impro04_M011,neu,I don't know.  He had a really good resume I guess and--
Ses01F_impro04_M012,neu,Yeah.  Do you have a resume?
Ses01F_impro04_M013,neu,It's kind of helpful when getting a job.
Ses01F_impro04_M014,neu,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
Ses01F_impro04_M015,neu,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
Ses01F_impro04_M016,neu,"Yeah.  But the piece of paper helps, too."
Ses01F_impro04_M017,neu,"No.  But it has an outline, you know."
Ses01F_impro04_M018,neu,"I know.  Okay.  Well, um. Maybe--"
Ses01F_impro04_M019,neu,Yeah.
Ses01F_impro04_M020,neu,"Okay, yeah.  I would imagine."
Ses01F_impro04_M021,neu,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
Ses01F_impro04_M022,neu,maybe get a car.
Ses01F_impro04_M023,neu,"I just, you know, think you should try a little harder maybe."
Ses01F_impro04_M024,neu,I didn't say that.
Ses01F_impro04_M025,neu,"I am riding the bus, but by choice."
Ses01F_impro04_M026,neu,"To save the environment, carpool."
Ses01F_impro04_M027,neu,Yes.  One less car at a time.
Ses01F_impro04_M028,neu,Mmhmm.
Ses01F_impro04_M031,neu,I don't think I'm anyone.
Ses01F_impro04_M032,neu,I- I-I didn't-- okay.
Ses01F_impro06_F002,sad,No.
Ses01F_impro06_F003,neu,That's sweet.
Ses01F_impro06_F004,neu,Thank you.
Ses01F_impro06_F005,sad,I went to see her headstone a week or two ago.
Ses01F_impro06_F006,sad,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city."
Ses01F_impro06_F007,sad,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.
Ses01F_impro06_F008,sad,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-
Ses01F_impro06_F009,neu,"this woman came up and, you know, it was hers. It was her person that was there."
Ses01F_impro06_F010,sad,"Yeah.  And she was like, that's pathetic, I hope you enjoy it."
Ses01F_impro06_F011,sad,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly."
Ses01F_impro06_F012,sad,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever."
Ses01F_impro06_F013,sad,I don't know.
Ses01F_impro06_F014,sad,At the cemetery?
Ses01F_impro06_F015,sad,couple hours.
Ses01F_impro06_F016,neu,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers."
Ses01F_impro06_F018,neu,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.
Ses01F_impro06_F019,neu,Yeah.
Ses01F_impro06_F020,sad,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors."
Ses01F_impro06_F021,sad,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her."
Ses01F_impro06_F022,sad,She used to have these poetry parties on Memorial Day.
Ses01F_impro06_F023,sad,Umm. Yeah.
Ses01F_impro06_F024,sad,"And the last time before she died, I remember she couldn't really stand, umm..."
Ses01F_impro06_F025,sad,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool."
Ses01F_impro06_F026,sad,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-"
Ses01F_impro06_F027,neu,"There's another one, I can't remember."
Ses01F_impro06_F028,sad,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?"
Ses01F_impro06_M000,sad,"I'm sorry, Joy."
Ses01F_impro06_M001,neu,Is there anything I can get you?  Do you want me to take care of anything for you or...?
Ses01F_impro06_M002,neu,...pick up anything?
Ses01F_impro06_M003,sad,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.
Ses01F_impro06_M004,neu,Hmm.
Ses01F_impro06_M005,neu,Oh.  She was there?
Ses01F_impro06_M006,neu,Mmhmm.
Ses01F_impro06_M007,sad,Yeah.
Ses01F_impro06_M008,neu,How long were you there for?
Ses01F_impro06_M009,neu,Mmhmm.
Ses01F_impro06_M010,neu,Oh really?
Ses01F_impro06_M011,neu,You ran through the sprinklers in the cemetery?
Ses01F_impro06_M012,neu,Is it a big cemetery?
Ses01F_impro06_M013,neu,"Oh, so they're like really old too, really old ones?"
Ses01F_impro06_M014,neu,Mmhmm.
Ses01F_impro06_M015,neu,Mmhmm.
Ses01F_impro06_M016,neu,So she wrote a lot of poetry?
Ses01F_script02_2_F000,neu,That's the wind.
Ses01F_script02_2_F001,neu,About what?
Ses01F_script02_2_F006,ang,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting."
Ses01F_script02_2_F008,ang,"For God- Grow up, Augie.  The fish are not going to arrive."
Ses01F_script02_2_F009,ang,Because they never do.  Have they...Have they ever?
Ses01F_script02_2_F010,ang,Twice is every time we have tried; that's ever.
Ses01F_script02_2_F015,sad,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is."
Ses01F_script02_2_F016,ang,"For God's sake, this is not about fish."
Ses01F_script02_2_F017,neu,Do you remember the first year we came here?  It was like four years after we got married.
Ses01F_script02_2_F019,hap,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be."
Ses01F_script02_2_F022,sad,I'd rather not remember some things.  I'd rather not hope for some things.
Ses01F_script02_2_F023,neu,No.
Ses01F_script02_2_F026,neu,No.
Ses01F_script02_2_F034,sad,"I know you are Augie, I know."
Ses01F_script02_2_F035,sad,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else."
Ses01F_script02_2_F036,sad,I didn't say that.
Ses01F_script02_2_F040,sad,"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself."
Ses01F_script02_2_F041,neu,"So maybe we are in the wrong spot, but we are with the right person."
Ses01F_script02_2_F042,hap,"Hmm.  I noticed that, it's pretty. Big old white moon."
Ses01F_script02_2_F043,hap,"Augie, you bought refreshments."
Ses01F_script02_2_F044,hap,I guess we don't need glasses.
Ses01F_script02_2_F045,hap,I'm beginning to think this might be the right spot after all.
Ses01F_script02_2_F046,sad,"Augie, I'm sorry."
Ses01F_script02_2_F047,neu,Or not.
Ses01F_script02_2_M002,neu,About what I was saying.
Ses01F_script02_2_M006,neu,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?"
Ses01F_script02_2_M016,neu,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go."
Ses01F_script02_2_M017,neu,"Okay.  So I am putting out the pets, getting the car out of the garage."
Ses01F_script02_2_M019,neu,"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that."
Ses01F_script02_2_M021,neu,Sure.  All right.  Okay.
Ses01F_script02_2_M022,neu,"Listen, do you want to dance?"
Ses01F_script02_2_M023,neu,Do you want me to go get some champagne?
Ses01F_script02_2_M024,hap,Do you want to take off your shoes?
Ses01F_script02_2_M026,hap,Do you want to get married again?
Ses01F_script02_2_M033,neu,Yes it is.
Ses01F_script02_2_M037,sad,"Maybe if you were with someone else, too."
Ses01F_script02_2_M038,sad,I just- I know I don't make you happy.
Ses01F_script02_2_M040,neu,"You know, actually now that you mention it, no I don't."
Ses01F_script02_2_M042,neu,"We have a great view of the moon from here, though, huh?"
Ses01F_script02_2_M043,neu,[BREATHING]
Ses01F_script02_2_M044,hap,And look what I got here.
Ses01F_script02_2_M046,hap,[BREATHING]
Ses01F_script02_2_M047,neu,Do you want to go home?  Are you cold?
Ses01F_script02_2_M048,neu,"Shh.  If we're very quiet, the fish might come."
Ses01F_script02_2_M049,hap,Or not.
Ses01M_impro03_F017,neu,I don't know get it in cash.
Ses01M_impro03_F018,neu,Yeah.
Ses01M_impro03_F021,neu,"Oh yeah, absolutely, absolutely."
Ses01M_impro03_M003,neu,"Well, she's not a citizen so she wants to get a visa."
Ses01M_impro03_M006,neu,"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask."
Ses01M_impro03_M014,neu,Yeah.  Make her like open the bank account and stuff too.
Ses01M_impro03_M018,neu,Just cash hardcore.
Ses01M_impro03_M021,neu,And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.
Ses01M_impro05_F000,neu,Can I help you?
Ses01M_impro05_F001,neu,I need a little more information.
Ses01M_impro05_F002,neu,What- What flight did you come in on?
Ses01M_impro05_F003,neu,Georgia?
Ses01M_impro05_F004,neu,"There's no need for you to raise your voice, sir."
Ses01M_impro05_F005,neu,I've been college educated.
Ses01M_impro05_F006,neu,I speak your language.
Ses01M_impro05_F007,neu,I'm just saying you don't need to talk to me like I-
Ses01M_impro05_F011,neu,"Details, Details.  Well, anyhow can I--"
Ses01M_impro05_F012,neu,so you flew in from Atlanta...
Ses01M_impro05_F013,neu,Four...Four hours ago.
